
Thu May 25 23:29:54 EEST 2017 | 11/1918
Mon Jun 26 00:24:47 EEST 2017 | Left pane book (message) loaded
Mon Jun 26 00:24:57 EEST 2017 | Current message: C:\Users\Admin\Documents\NetBeansProjects\questionnaire\data\questions\period\1924-01_1925-12_m_Reichsfahne.txt
Mon Jun 26 00:24:58 EEST 2017 | Left pane book (message) loaded
Mon Jun 26 00:25:12 EEST 2017 | Current message: C:\Users\Admin\Documents\NetBeansProjects\questionnaire\data\events\message\date\1925-02_Ebert-death.txt
Mon Jun 26 00:25:13 EEST 2017 | Left pane book (message) loaded
Mon Jun 26 00:25:20 EEST 2017 | Current message: C:\Users\Admin\Documents\NetBeansProjects\questionnaire\data\questions\period\1925-01_1930-12_m_Kozi-propaganda-STA.txt
Mon Jun 26 00:25:20 EEST 2017 | Left pane book (message) loaded
Mon Jun 26 00:25:38 EEST 2017 | Current message: C:\Users\Admin\Documents\NetBeansProjects\questionnaire\data\questions\date\1925-04_Reichspraesidentenwahl.txt
Mon Jun 26 00:25:38 EEST 2017 | Left pane book (message) loaded
Mon Jun 26 00:25:48 EEST 2017 | Current message: C:\Users\Admin\Documents\NetBeansProjects\questionnaire\data\questions\period\1925-05_1928-12_m_join-SA.txt
Mon Jun 26 00:25:49 EEST 2017 | Left pane book (message) loaded
Mon Jun 26 00:26:10 EEST 2017 | Current message: C:\Users\Admin\Documents\NetBeansProjects\questionnaire\data\questions\period\1924-12_1925-12_m_Arierparagraph-STA.txt
Mon Jun 26 00:26:10 EEST 2017 | Left pane book (message) loaded
Mon Jun 26 00:27:32 EEST 2017 | Current message: C:\Users\Admin\Documents\NetBeansProjects\questionnaire\data\questions\period\1928-01_1932-12_m_Parteigruss.txt
Mon Jun 26 00:27:32 EEST 2017 | Left pane book (message) loaded
Mon Jun 26 00:27:48 EEST 2017 | Current message: C:\Users\Admin\Documents\NetBeansProjects\questionnaire\data\events\story\date\1928-09_Morozowitz.txt
Mon Jun 26 00:27:49 EEST 2017 | Left pane book (message) loaded
Mon Jun 26 00:27:52 EEST 2017 | Current message: C:\Users\Admin\Documents\NetBeansProjects\questionnaire\data\questions\date\1928-09_Fuerstenwald-STA.txt
Mon Jun 26 00:27:52 EEST 2017 | Left pane book (message) loaded
Mon Jun 26 00:28:36 EEST 2017 | Current message: C:\Users\Admin\Documents\NetBeansProjects\questionnaire\data\events\message\period\1930-12_1932-02_m_Reichsbanner-reformation.txt
Mon Jun 26 00:28:36 EEST 2017 | Left pane book (message) loaded
Mon Jun 26 00:28:45 EEST 2017 | Current message: C:\Users\Admin\Documents\NetBeansProjects\questionnaire\data\events\message\trigger\Schufo-history0_Reichsbanner-reformation.txt
Mon Jun 26 00:28:45 EEST 2017 | Left pane book (message) loaded
Mon Jun 26 00:28:49 EEST 2017 | Current message: C:\Users\Admin\Documents\NetBeansProjects\questionnaire\data\events\message\trigger\Schufo-history1_Reichsbanner-reformation.txt
Mon Jun 26 00:28:49 EEST 2017 | Left pane book (message) loaded
Mon Jun 26 00:29:16 EEST 2017 | Current message: C:\Users\Admin\Documents\NetBeansProjects\questionnaire\data\events\message\trigger\Schufo-history2_Reichsbanner-reformation.txt
Mon Jun 26 00:29:16 EEST 2017 | Left pane book (message) loaded
Mon Jun 26 00:29:26 EEST 2017 | Current message: C:\Users\Admin\Documents\NetBeansProjects\questionnaire\data\events\message\trigger\Schufo-history3_Reichsbanner-reformation.txt
Mon Jun 26 00:29:26 EEST 2017 | Left pane book (message) loaded
Mon Jun 26 00:30:12 EEST 2017 | Current message: C:\Users\Admin\Documents\NetBeansProjects\questionnaire\data\events\message\date\1933-02_Reichskanzler-Hitler.txt
Mon Jun 26 00:30:13 EEST 2017 | Left pane book (message) loaded
Mon Jun 26 00:30:26 EEST 2017 | Current message: C:\Users\Admin\Documents\NetBeansProjects\questionnaire\data\questions\trigger\Reichskanzler-Hitler_Brandenburger-Tor.txt
Mon Jun 26 00:30:27 EEST 2017 | Left pane book (message) loaded
Mon Jun 26 00:48:07 EEST 2017 | 2/1934
Mon Jun 26 00:50:12 EEST 2017 | 10/1918
Mon Jun 26 00:51:54 EEST 2017 | 10/1918
Mon Jun 26 00:52:31 EEST 2017 | Current message: C:\Users\Admin\Documents\NetBeansProjects\questionnaire\data\events\story\trigger\epigraph_Remarque.txt
Mon Jun 26 00:52:31 EEST 2017 | Left pane book (message) loaded
Mon Jun 26 00:52:52 EEST 2017 | Current message: C:\Users\Admin\Documents\NetBeansProjects\questionnaire\data\events\story\date\1918-10_Remarque.txt
Mon Jun 26 00:52:52 EEST 2017 | Left pane book (message) loaded
Mon Jun 26 00:52:54 EEST 2017 | Current message: C:\Users\Admin\Documents\NetBeansProjects\questionnaire\data\events\story\trigger\Frieden_Remarque.txt
Mon Jun 26 00:52:55 EEST 2017 | Left pane book (message) loaded
Mon Jun 26 00:52:56 EEST 2017 | Current message: C:\Users\Admin\Documents\NetBeansProjects\questionnaire\data\events\story\trigger\11-November-1918_Remarque.txt
Mon Jun 26 00:52:56 EEST 2017 | Left pane book (message) loaded
Mon Jun 26 00:52:58 EEST 2017 | Current message: C:\Users\Admin\Documents\NetBeansProjects\questionnaire\data\questions\date\1918-10_Profession.txt
Mon Jun 26 00:52:58 EEST 2017 | Left pane book (message) loaded
Mon Jun 26 00:53:04 EEST 2017 | Current message: C:\Users\Admin\Documents\NetBeansProjects\questionnaire\data\events\story\date\1918-11_Remarque.txt
Mon Jun 26 00:53:05 EEST 2017 | Left pane book (message) loaded
Mon Jun 26 00:53:07 EEST 2017 | Current message: C:\Users\Admin\Documents\NetBeansProjects\questionnaire\data\events\story\trigger\Train_Remarque.txt
Mon Jun 26 00:53:07 EEST 2017 | Left pane book (message) loaded
Mon Jun 26 00:53:09 EEST 2017 | Current message: C:\Users\Admin\Documents\NetBeansProjects\questionnaire\data\events\story\trigger\Train-continue_Remarque.txt
Mon Jun 26 00:53:09 EEST 2017 | Left pane book (message) loaded
Mon Jun 26 00:53:10 EEST 2017 | Current message: C:\Users\Admin\Documents\NetBeansProjects\questionnaire\data\questions\date\1918-11_Kaiser.txt
Mon Jun 26 00:53:10 EEST 2017 | Left pane book (message) loaded
Mon Jun 26 00:53:18 EEST 2017 | Current message: C:\Users\Admin\Documents\NetBeansProjects\questionnaire\data\events\story\date\1918-12_Remarque.txt
Mon Jun 26 00:53:18 EEST 2017 | Left pane book (message) loaded
Mon Jun 26 00:53:20 EEST 2017 | Current message: C:\Users\Admin\Documents\NetBeansProjects\questionnaire\data\events\story\trigger\Heimat_Remarque.txt
Mon Jun 26 00:53:20 EEST 2017 | Left pane book (message) loaded
Mon Jun 26 00:53:22 EEST 2017 | Current message: C:\Users\Admin\Documents\NetBeansProjects\questionnaire\data\questions\date\1918-12_join-Freikorps.txt
Mon Jun 26 00:53:22 EEST 2017 | Left pane book (message) loaded
Mon Jun 26 00:53:33 EEST 2017 | Current message: C:\Users\Admin\Documents\NetBeansProjects\questionnaire\data\questions\date\1919-06_Versailles.txt
Mon Jun 26 00:53:33 EEST 2017 | Left pane book (message) loaded
Mon Jun 26 00:53:48 EEST 2017 | Current message: C:\Users\Admin\Documents\NetBeansProjects\questionnaire\data\questions\date\1920-03_Kapp-Luettwitz.txt
Mon Jun 26 00:53:48 EEST 2017 | Left pane book (message) loaded
Mon Jun 26 00:54:09 EEST 2017 | Current message: C:\Users\Admin\Documents\NetBeansProjects\questionnaire\data\questions\date\1921-05_Oberschlesien.txt
Mon Jun 26 00:54:09 EEST 2017 | Left pane book (message) loaded
Mon Jun 26 00:54:23 EEST 2017 | Current message: C:\Users\Admin\Documents\NetBeansProjects\questionnaire\data\questions\period\1922-01_1923-12_m_Orchestra.txt
Mon Jun 26 00:54:24 EEST 2017 | Left pane book (message) loaded
Mon Jun 26 00:54:34 EEST 2017 | Current message: C:\Users\Admin\Documents\NetBeansProjects\questionnaire\data\events\story\date\1922-06_Rathenau-Berliner-Tageblatt.txt
Mon Jun 26 00:54:35 EEST 2017 | Left pane book (message) loaded
Mon Jun 26 00:54:39 EEST 2017 | Current message: C:\Users\Admin\Documents\NetBeansProjects\questionnaire\data\events\story\trigger\Ermordung-Rathenaus_Vossische-Zeitung.txt
Mon Jun 26 00:54:39 EEST 2017 | Left pane book (message) loaded
Mon Jun 26 00:54:41 EEST 2017 | Current message: C:\Users\Admin\Documents\NetBeansProjects\questionnaire\data\events\story\trigger\Ermordung-Rathenaus-continue_Vossische-Zeitung.txt
Mon Jun 26 00:54:41 EEST 2017 | Left pane book (message) loaded
Mon Jun 26 00:54:42 EEST 2017 | Current message: C:\Users\Admin\Documents\NetBeansProjects\questionnaire\data\questions\date\1922-06_Rathenau.txt
Mon Jun 26 00:54:43 EEST 2017 | Left pane book (message) loaded
Mon Jun 26 00:54:47 EEST 2017 | Current message: C:\Users\Admin\Documents\NetBeansProjects\questionnaire\data\events\story\trigger\Rathenau_Ebert.txt
Mon Jun 26 00:54:47 EEST 2017 | Left pane book (message) loaded
Mon Jun 26 00:55:01 EEST 2017 | Current message: C:\Users\Admin\Documents\NetBeansProjects\questionnaire\data\questions\period\1923-01_1923-05_m_Ruhr.txt
Mon Jun 26 00:55:02 EEST 2017 | Left pane book (message) loaded
Mon Jun 26 00:55:13 EEST 2017 | Current message: C:\Users\Admin\Documents\NetBeansProjects\questionnaire\data\questions\period\1923-01_1928-12_m_join-STA.txt
Mon Jun 26 00:55:14 EEST 2017 | Left pane book (message) loaded
Mon Jun 26 00:55:25 EEST 2017 | Current message: C:\Users\Admin\Documents\NetBeansProjects\questionnaire\data\questions\period\1924-01_1925-12_m_Reichsfahne.txt
Mon Jun 26 00:55:26 EEST 2017 | Left pane book (message) loaded
Mon Jun 26 00:55:36 EEST 2017 | Current message: C:\Users\Admin\Documents\NetBeansProjects\questionnaire\data\questions\period\1924-03_1928-12_m_join-RB.txt
Mon Jun 26 00:55:37 EEST 2017 | Left pane book (message) loaded
Mon Jun 26 00:55:46 EEST 2017 | Current message: C:\Users\Admin\Documents\NetBeansProjects\questionnaire\data\questions\period\1924-06_1928-12_m_join-RFB.txt
Mon Jun 26 00:55:46 EEST 2017 | Left pane book (message) loaded
Mon Jun 26 00:55:58 EEST 2017 | Current message: C:\Users\Admin\Documents\NetBeansProjects\questionnaire\data\questions\period\1925-01_1928-12_m_RB-mission.txt
Mon Jun 26 00:55:59 EEST 2017 | Left pane book (message) loaded
Mon Jun 26 00:56:07 EEST 2017 | Current message: C:\Users\Admin\Documents\NetBeansProjects\questionnaire\data\events\message\date\1925-02_Ebert-death.txt
Mon Jun 26 00:56:07 EEST 2017 | Left pane book (message) loaded
Mon Jun 26 00:56:13 EEST 2017 | Current message: C:\Users\Admin\Documents\NetBeansProjects\questionnaire\data\questions\date\1925-04_Reichspraesidentenwahl.txt
Mon Jun 26 00:56:14 EEST 2017 | Left pane book (message) loaded
Mon Jun 26 00:56:20 EEST 2017 | Current message: C:\Users\Admin\Documents\NetBeansProjects\questionnaire\data\questions\period\1925-05_1928-12_m_join-SA.txt
Mon Jun 26 00:56:21 EEST 2017 | Left pane book (message) loaded
Mon Jun 26 00:57:06 EEST 2017 | Current message: C:\Users\Admin\Documents\NetBeansProjects\questionnaire\data\questions\period\1928-01_1932-12_m_Parteigruss.txt
Mon Jun 26 00:57:06 EEST 2017 | Left pane book (message) loaded
Mon Jun 26 00:57:22 EEST 2017 | Current message: C:\Users\Admin\Documents\NetBeansProjects\questionnaire\data\events\story\date\1928-09_Morozowitz.txt
Mon Jun 26 00:57:22 EEST 2017 | Left pane book (message) loaded
Mon Jun 26 00:57:31 EEST 2017 | Current message: C:\Users\Admin\Documents\NetBeansProjects\questionnaire\data\questions\period\1929-01_1933-02_m_anti-SA-provocation.txt
Mon Jun 26 00:57:32 EEST 2017 | Left pane book (message) loaded
Mon Jun 26 00:57:57 EEST 2017 | Current message: C:\Users\Admin\Documents\NetBeansProjects\questionnaire\data\questions\period\1930-01_1931-12_m_Ringeltaube-RB.txt
Mon Jun 26 00:57:58 EEST 2017 | Left pane book (message) loaded
Mon Jun 26 00:58:17 EEST 2017 | Current message: C:\Users\Admin\Documents\NetBeansProjects\questionnaire\data\events\message\period\1930-12_1932-02_m_Reichsbanner-reformation.txt
Mon Jun 26 00:58:17 EEST 2017 | Left pane book (message) loaded
Mon Jun 26 00:58:20 EEST 2017 | Current message: C:\Users\Admin\Documents\NetBeansProjects\questionnaire\data\events\message\trigger\Schufo-history0_Reichsbanner-reformation.txt
Mon Jun 26 00:58:20 EEST 2017 | Left pane book (message) loaded
Mon Jun 26 00:58:22 EEST 2017 | Current message: C:\Users\Admin\Documents\NetBeansProjects\questionnaire\data\events\message\trigger\Schufo-history1_Reichsbanner-reformation.txt
Mon Jun 26 00:58:22 EEST 2017 | Left pane book (message) loaded
Mon Jun 26 00:58:26 EEST 2017 | Current message: C:\Users\Admin\Documents\NetBeansProjects\questionnaire\data\events\message\trigger\Schufo-history2_Reichsbanner-reformation.txt
Mon Jun 26 00:58:26 EEST 2017 | Left pane book (message) loaded
Mon Jun 26 00:58:28 EEST 2017 | Current message: C:\Users\Admin\Documents\NetBeansProjects\questionnaire\data\events\message\trigger\Schufo-history3_Reichsbanner-reformation.txt
Mon Jun 26 00:58:28 EEST 2017 | Left pane book (message) loaded
Mon Jun 26 00:58:30 EEST 2017 | Current message: C:\Users\Admin\Documents\NetBeansProjects\questionnaire\data\questions\trigger\Schufo_join-Schufo-RB.txt
Mon Jun 26 00:58:30 EEST 2017 | Left pane book (message) loaded
Mon Jun 26 00:59:03 EEST 2017 | Current message: C:\Users\Admin\Documents\NetBeansProjects\questionnaire\data\events\message\date\1933-02_Reichskanzler-Hitler.txt
Mon Jun 26 00:59:04 EEST 2017 | Left pane book (message) loaded
Mon Jun 26 00:59:37 EEST 2017 | 10/1918
Mon Jun 26 01:01:30 EEST 2017 | 10/1918
Mon Jun 26 01:05:23 EEST 2017 | 10/1918
